channel_id,video_id,channel_name,duration(sec),domain,link
UCUxdUUZZNXrZprkqTja0Ltg,tPEcjbxO5fQ,Global TV News,222,Talk-show,https://www.youtube.com/watch?v=tPEcjbxO5fQ
UCXfnbBxgYQDtgcCbArD6jDA,qz9rwZ3Y1Lo,SOMOY 63,897,Talk-show,https://www.youtube.com/watch?v=qz9rwZ3Y1Lo
UCrqpxgInFaw4uVQpdqvZhxA,7tt1ZISQ2wI,BVNEWS24,98,Talk-show,https://www.youtube.com/watch?v=7tt1ZISQ2wI
UC5Bljk81GJkKfI7gVwywsbw,0TMKsWSQDpY,BanglaVision PROGRAM,651,Talk-show,https://www.youtube.com/watch?v=0TMKsWSQDpY
UCrqpxgInFaw4uVQpdqvZhxA,g8g57JoQaOk,BVNEWS24,190,Talk-show,https://www.youtube.com/watch?v=g8g57JoQaOk
UCrqpxgInFaw4uVQpdqvZhxA,02GZbzrtHTg,BVNEWS24,139,Talk-show,https://www.youtube.com/watch?v=02GZbzrtHTg
UCUxdUUZZNXrZprkqTja0Ltg,CACzudrp6Sc,Global TV News,200,Talk-show,https://www.youtube.com/watch?v=CACzudrp6Sc
UCrqpxgInFaw4uVQpdqvZhxA,GgO89l-MRsQ,BVNEWS24,208,Talk-show,https://www.youtube.com/watch?v=GgO89l-MRsQ
UC9Rgo0CrNyd7OWliLekqqGA,B70sTlTDK78,ATN News,133,Talk-show,https://www.youtube.com/watch?v=B70sTlTDK78
UCrmdom0JlqGs6APPVqUM-eA,Wlbtdf_TcME,বর্তমান রাজনৈতিক টকশো,1156,Talk-show,https://www.youtube.com/watch?v=Wlbtdf_TcME
UCgsp7WfVvh94TiDoPagPkrg,Y_gGHS0_ZqI,Bangla TV ,142,Talk-show,https://www.youtube.com/watch?v=Y_gGHS0_ZqI
UCrqpxgInFaw4uVQpdqvZhxA,QyDypeLRXhU,BVNEWS24,82,Talk-show,https://www.youtube.com/watch?v=QyDypeLRXhU
UCShVtIlkBYvsnYLZ1eHd9Yg,twlGuCo8l4U,ATN News Bulletin,643,Talk-show,https://www.youtube.com/watch?v=twlGuCo8l4U
UC9Rgo0CrNyd7OWliLekqqGA,ccScHRbAs9Y,ATN News,260,Talk-show,https://www.youtube.com/watch?v=ccScHRbAs9Y
UCrqpxgInFaw4uVQpdqvZhxA,AkwUUIw0fhM,BVNEWS24,152,Talk-show,https://www.youtube.com/watch?v=AkwUUIw0fhM
UCrqpxgInFaw4uVQpdqvZhxA,ETm3qIQa7gA,BVNEWS24,69,Talk-show,https://www.youtube.com/watch?v=ETm3qIQa7gA
UCxzUkRegSDknSn78BFOxEWg,rsSNFklpyl8, TALK বাংলা,763,Talk-show,https://www.youtube.com/watch?v=rsSNFklpyl8
UC9Rgo0CrNyd7OWliLekqqGA,gL0KjVJ53_k,ATN News,318,Talk-show,https://www.youtube.com/watch?v=gL0KjVJ53_k
UCrqpxgInFaw4uVQpdqvZhxA,Osjbdtmbrew,BVNEWS24,59,Talk-show,https://www.youtube.com/watch?v=Osjbdtmbrew
UCrqpxgInFaw4uVQpdqvZhxA,5EBSAZqA7rI,BVNEWS24,116,Talk-show,https://www.youtube.com/watch?v=5EBSAZqA7rI
UC9Rgo0CrNyd7OWliLekqqGA,A08g2eJS5CA,ATN News,542,Talk-show,https://www.youtube.com/watch?v=A08g2eJS5CA
UC9Rgo0CrNyd7OWliLekqqGA,2Ba5GeUL-xw,ATN News,317,Talk-show,https://www.youtube.com/watch?v=2Ba5GeUL-xw
UC9Rgo0CrNyd7OWliLekqqGA,RRB-0dlkwWE,ATN News,380,Talk-show,https://www.youtube.com/watch?v=RRB-0dlkwWE
UCA4y9g_GRdNrZLH_u5LLSdw,R2zk4LmU1Oc,BanglaVision NEWS,63,Talk-show,https://www.youtube.com/watch?v=R2zk4LmU1Oc
UC9Rgo0CrNyd7OWliLekqqGA,A9iHqIl0JrI,ATN News,21,Talk-show,https://www.youtube.com/watch?v=A9iHqIl0JrI
UCMMCiB3he7fwFUvLBRMTaZQ,DtXnL1SuAtw,SATV News,327,Talk-show,https://www.youtube.com/watch?v=DtXnL1SuAtw
UCKlhfq1ILoAFav7iw5iCnfA,rvDjcf4xk5Q,ATN News Live,224,Talk-show,https://www.youtube.com/watch?v=rvDjcf4xk5Q
UCl13d2BTcnn_wQmlpWV_Ctw,H0m0rOrhhnY,SATV,587,Talk-show,https://www.youtube.com/watch?v=H0m0rOrhhnY
UC9Rgo0CrNyd7OWliLekqqGA,yde69ckLPKY,ATN News,168,Talk-show,https://www.youtube.com/watch?v=yde69ckLPKY
UCCd4OWs4Hi5LUTJk39OXFZg,ElVRHdK1Li4,Enams Talk Show,687,Talk-show,https://www.youtube.com/watch?v=ElVRHdK1Li4
UCH25komssgyvwIYaDTOM2Aw,4YU7mv1pW64,politics Talk Show,1880,Talk-show,https://www.youtube.com/watch?v=4YU7mv1pW64
UC9Rgo0CrNyd7OWliLekqqGA,YU8-TLeKGfU,ATN News,250,Talk-show,https://www.youtube.com/watch?v=YU8-TLeKGfU
UCA4y9g_GRdNrZLH_u5LLSdw,T1X9QxNpGRQ,BanglaVision NEWS,201,Talk-show,https://www.youtube.com/watch?v=T1X9QxNpGRQ
UCrqpxgInFaw4uVQpdqvZhxA,JJO3wtW3DTw,BVNEWS24,86,Talk-show,https://www.youtube.com/watch?v=JJO3wtW3DTw
UCl13d2BTcnn_wQmlpWV_Ctw,U2jjSgzDHTw,SATV,292,Talk-show,https://www.youtube.com/watch?v=U2jjSgzDHTw
UCrqpxgInFaw4uVQpdqvZhxA,ytQx7Nyw11c,BVNEWS24,271,Talk-show,https://www.youtube.com/watch?v=ytQx7Nyw11c
UCA4y9g_GRdNrZLH_u5LLSdw,wzImRt0BpDE,BanglaVision NEWS,1846,Talk-show,https://www.youtube.com/watch?v=wzImRt0BpDE
UCf_N7CDJqP7wZGagydzjdMQ,WlCT-00CXi0,ATN News Talk show,327,Talk-show,https://www.youtube.com/watch?v=WlCT-00CXi0
UCwO2IsXSjviAoYnaYS2dAhQ,YAn0Z7vITIM,NTV Shows,866,Talk-show,https://www.youtube.com/watch?v=YAn0Z7vITIM
UCShVtIlkBYvsnYLZ1eHd9Yg,KmoAipRimd4,ATN News Bulletin,1799,Talk-show,https://www.youtube.com/watch?v=KmoAipRimd4
UCl13d2BTcnn_wQmlpWV_Ctw,CT4pAp-Vpq4,SATV,425,Talk-show,https://www.youtube.com/watch?v=CT4pAp-Vpq4
UCUxdUUZZNXrZprkqTja0Ltg,BS31n5lttTc,Global TV News,205,Talk-show,https://www.youtube.com/watch?v=BS31n5lttTc
UCqJWBVgKOT0xQ9arguT8pjg,396-J3qjNGU,Global News-24,907,Talk-show,https://www.youtube.com/watch?v=396-J3qjNGU
UCrqpxgInFaw4uVQpdqvZhxA,l2rhZh-8a8A,BVNEWS24,47,Talk-show,https://www.youtube.com/watch?v=l2rhZh-8a8A
UC9Rgo0CrNyd7OWliLekqqGA,-41T2d9QO6Q,ATN News,289,Talk-show,https://www.youtube.com/watch?v=-41T2d9QO6Q
UCNEdT_zYezCWd61vlP7lWyw,fSWrLv9CjK8,Public Investigation,278,Talk-show,https://www.youtube.com/watch?v=fSWrLv9CjK8
UC9Rgo0CrNyd7OWliLekqqGA,kHBQm1-GsyI,ATN News,421,Talk-show,https://www.youtube.com/watch?v=kHBQm1-GsyI
,wnh154Wkudo,,0,Talk-show,https://www.youtube.com/watch?v=wnh154Wkudo
UCf_N7CDJqP7wZGagydzjdMQ,aKVgkWXOwRE,ATN News Talk show,465,Talk-show,https://www.youtube.com/watch?v=aKVgkWXOwRE
UCl13d2BTcnn_wQmlpWV_Ctw,vYg2ABZZsrw,SATV,282,Talk-show,https://www.youtube.com/watch?v=vYg2ABZZsrw
UCF5H3eSZ13nktM-I9CYZrog,JqpqP9E6adQ,Maasranga Ranga Shokal,3143,Talk-show,https://www.youtube.com/watch?v=JqpqP9E6adQ
UCA4y9g_GRdNrZLH_u5LLSdw,Qbn9jZuBnnM,BanglaVision NEWS,153,Talk-show,https://www.youtube.com/watch?v=Qbn9jZuBnnM
UCl13d2BTcnn_wQmlpWV_Ctw,EV9bHD6UR2I,SATV,181,Talk-show,https://www.youtube.com/watch?v=EV9bHD6UR2I
UCKlhfq1ILoAFav7iw5iCnfA,oVSnkEPtVrA,ATN News Live,174,Talk-show,https://www.youtube.com/watch?v=oVSnkEPtVrA
UCl13d2BTcnn_wQmlpWV_Ctw,8PdBp-qJk2Y,SATV,123,Talk-show,https://www.youtube.com/watch?v=8PdBp-qJk2Y
UCUxdUUZZNXrZprkqTja0Ltg,BQRSP1ELyGg,Global TV News,226,Talk-show,https://www.youtube.com/watch?v=BQRSP1ELyGg
UCl13d2BTcnn_wQmlpWV_Ctw,C0KBa2NdPa0,SATV,165,Talk-show,https://www.youtube.com/watch?v=C0KBa2NdPa0
UCGXRuv7nj5d6AIdQQyShvjg,G89vod412Tk,Business Report,217,Talk-show,https://www.youtube.com/watch?v=G89vod412Tk
UCrqpxgInFaw4uVQpdqvZhxA,--R-gRwBZCk,BVNEWS24,98,Talk-show,https://www.youtube.com/watch?v=--R-gRwBZCk
UClcW8Lfj5zE67tvsQ27lb_g,Typ3DewsoHU,DD Bangla,3285,Talk-show,https://www.youtube.com/watch?v=Typ3DewsoHU
UCUxdUUZZNXrZprkqTja0Ltg,2hD9jWY1fiY,Global TV News,167,Talk-show,https://www.youtube.com/watch?v=2hD9jWY1fiY
UCUxdUUZZNXrZprkqTja0Ltg,9Qt2EYVAX-Q,Global TV News,133,Talk-show,https://www.youtube.com/watch?v=9Qt2EYVAX-Q
UCl13d2BTcnn_wQmlpWV_Ctw,cbOzBx4D_6c,SATV,58,Talk-show,https://www.youtube.com/watch?v=cbOzBx4D_6c
UCuWh1Lj2kIrs81KBqtK3WSQ,463er-m22JQ,alpona tv,248,Talk-show,https://www.youtube.com/watch?v=463er-m22JQ
UCl13d2BTcnn_wQmlpWV_Ctw,u3fVM-M2KWQ,SATV,260,Talk-show,https://www.youtube.com/watch?v=u3fVM-M2KWQ
UCI5AcVxJ2Dmy6FetTlDEWEg,4udaHclhfBM,রাজনৈতিক টকশো,373,Talk-show,https://www.youtube.com/watch?v=4udaHclhfBM
UClGbJpMriOVQd0eLdJJoUDQ,xekaRq9WK14,ATN Bangla Talk Show,1544,Talk-show,https://www.youtube.com/watch?v=xekaRq9WK14
UCl13d2BTcnn_wQmlpWV_Ctw,45lwb9FZrdY,SATV,117,Talk-show,https://www.youtube.com/watch?v=45lwb9FZrdY
UCNEdT_zYezCWd61vlP7lWyw,_lljEwoHpqY,Public Investigation,310,Talk-show,https://www.youtube.com/watch?v=_lljEwoHpqY
UCUxdUUZZNXrZprkqTja0Ltg,dTPJWyUqTXs,Global TV News,112,Talk-show,https://www.youtube.com/watch?v=dTPJWyUqTXs
UC9Rgo0CrNyd7OWliLekqqGA,woIYAQQa7pE,ATN News,208,Talk-show,https://www.youtube.com/watch?v=woIYAQQa7pE
UCA4y9g_GRdNrZLH_u5LLSdw,t9EZWWl6E-M,BanglaVision NEWS,62,Talk-show,https://www.youtube.com/watch?v=t9EZWWl6E-M
UCl13d2BTcnn_wQmlpWV_Ctw,M6droZobYCs,SATV,2422,Talk-show,https://www.youtube.com/watch?v=M6droZobYCs
UCA4y9g_GRdNrZLH_u5LLSdw,HbIpLWePEOE,BanglaVision NEWS,214,Talk-show,https://www.youtube.com/watch?v=HbIpLWePEOE
UCA4y9g_GRdNrZLH_u5LLSdw,ifDn_BbnPGQ,BanglaVision NEWS,98,Talk-show,https://www.youtube.com/watch?v=ifDn_BbnPGQ
UCnvgKSKynoUIej3Eodb-17w,6ZXrBM-lFxg,Sudeshna Chattopadhyay,1195,Talk-show,https://www.youtube.com/watch?v=6ZXrBM-lFxg
UCA4y9g_GRdNrZLH_u5LLSdw,S7MH3Mz6x84,BanglaVision NEWS,97,Talk-show,https://www.youtube.com/watch?v=S7MH3Mz6x84
UCA4y9g_GRdNrZLH_u5LLSdw,nw0s8yZFsDQ,BanglaVision NEWS,129,Talk-show,https://www.youtube.com/watch?v=nw0s8yZFsDQ
UC9Rgo0CrNyd7OWliLekqqGA,PkpvuidTGGM,ATN News,124,Talk-show,https://www.youtube.com/watch?v=PkpvuidTGGM
UCEkv8LYj0Dq4z_mXDr06HxA,Z3qModACmC0,ATN Bangla Clips,221,Talk-show,https://www.youtube.com/watch?v=Z3qModACmC0
UCNEdT_zYezCWd61vlP7lWyw,BY9Tj6IFcII,Public Investigation,277,Talk-show,https://www.youtube.com/watch?v=BY9Tj6IFcII
UC9Rgo0CrNyd7OWliLekqqGA,5Vk0WcWPE1A,ATN News,224,Talk-show,https://www.youtube.com/watch?v=5Vk0WcWPE1A
UCGYRopFJRIOoMLmCiaEjMWw,vniYX3aSpMY,BanglaVision Drama Serial,140,Talk-show,https://www.youtube.com/watch?v=vniYX3aSpMY
UCte_iwe2WaPS2lgMKPvAy8g,m2GHVuC-FYU,Tritiyo Matra,2971,Talk-show,https://www.youtube.com/watch?v=m2GHVuC-FYU
UCrmdom0JlqGs6APPVqUM-eA,d4ebYsupdo0,বর্তমান রাজনৈতিক টকশো,3550,Talk-show,https://www.youtube.com/watch?v=d4ebYsupdo0
UCJmwC8QM7zGxZ9MbXEGRBiw,-gy0JNFQzXA,BANGLA POLITICS TALK SHOW ,974,Talk-show,https://www.youtube.com/watch?v=-gy0JNFQzXA
UCgH2KCRzsLJPNvvDe31mczw,BzgVrTT3-9Y,ATN Bangla Natok,297,Talk-show,https://www.youtube.com/watch?v=BzgVrTT3-9Y
