channel_id,video_id,channel_name,duration(sec),domain,link,,,
UCfFE620nGIfYwa-8w-m7DIQ,m-gX3XLkfCc,Explore Edventures,3899,podcast,https://www.youtube.com/watch?v=m-gX3XLkfCc,,,
UCjIi0uZg4h5Ar8gvLDTrGwA,K7eHX8c-ojA,GTV News,5212,podcast,https://www.youtube.com/watch?v=K7eHX8c-ojA,,,
UCjIi0uZg4h5Ar8gvLDTrGwA,K7eHX8c-ojA,GTV News,5212,talk show,https://www.youtube.com/watch?v=K7eHX8c-ojA,,,
UCN6sm8iHiPd0cnoUardDAnw,myfB3kyvPos,Jamuna TV,3065,talk show,https://www.youtube.com/watch?v=myfB3kyvPos,,,
UCCuL_mX2s39ZSn9uK3tIFWw,q_8RRKyeLwc,Debate for Democracy,2959,debate,https://www.youtube.com/watch?v=q_8RRKyeLwc,,,
UCN6sm8iHiPd0cnoUardDAnw,AaAI0nM7mg8,Jamuna TV,2628,talk show,https://www.youtube.com/watch?v=AaAI0nM7mg8,,,
UClzwimpLoZu9us9MwalLbtA,PaSJ26cYt8w,Bangladesh Television,2501,debate,https://www.youtube.com/watch?v=PaSJ26cYt8w,,,
UCKSJ5rTXq-pYgAmAOhVS_zQ,BU0YHWbsjZA,The Daily Star,3905,speech,https://www.youtube.com/watch?v=BU0YHWbsjZA&list=TLPQMzEwMTIwMjY_kwTWGkzuxQ&index=2,,,
UCYGztcCmHTr8mRQuE1ogMAA,7rTbT-_ulY8,D Talks,5190,podcast,https://www.youtube.com/watch?v=7rTbT-_ulY8,,,
UCn5PBpvcmT-EO8mc4s2fj6g,4bG-Bp0J_SY,Shawon Mir,7091,podcast,https://www.youtube.com/watch?v=4bG-Bp0J_SY,,,
UCUNEzmQ3zcifrhn0HwCgjYg,ilqZ2HVWdzE,The Business Standard,3153,podcast,https://www.youtube.com/watch?v=ilqZ2HVWdzE&list=TLPQMzEwMTIwMjY_kwTWGkzuxQ&index=5,,,
UCnNV-gK76uD4ivFup-07crQ,Bc2fH3I9Q1Y,ACS Future School,2525,online class,https://www.youtube.com/watch?v=Bc2fH3I9Q1Y&list=PLsRCKEpC3AenGaRibT9ViBytZwBneHGnd,,,
UCnNV-gK76uD4ivFup-07crQ,oTHRaoI9O04,ACS Future School,2444,online class,https://www.youtube.com/watch?v=oTHRaoI9O04&list=PLsRCKEpC3AenGaRibT9ViBytZwBneHGnd&index=4,,,
UCnNV-gK76uD4ivFup-07crQ,M_Grzmyvgdw,ACS Future School,2569,online class,https://www.youtube.com/watch?v=M_Grzmyvgdw&list=PLsRCKEpC3AenGaRibT9ViBytZwBneHGnd&index=7,,,
UCnNV-gK76uD4ivFup-07crQ,Bc2fH3I9Q1Y,ACS Future School,2525,online class,https://www.youtube.com/watch?v=Bc2fH3I9Q1Y&list=PLsRCKEpC3AenGaRibT9ViBytZwBneHGnd,,,
UCnNV-gK76uD4ivFup-07crQ,Mkw3sLuZwNE,ACS Future School,2859,online class,https://www.youtube.com/watch?v=Mkw3sLuZwNE&list=PLsRCKEpC3AenGaRibT9ViBytZwBneHGnd&index=3,,,
UCnNV-gK76uD4ivFup-07crQ,W1w1qJV7o1k,ACS Future School,3983,online class,https://www.youtube.com/watch?v=W1w1qJV7o1k&list=PLsRCKEpC3AenGaRibT9ViBytZwBneHGnd&index=2,,,
UCnNV-gK76uD4ivFup-07crQ,q3p6G6nLXOU,ACS Future School,3683,online class,https://www.youtube.com/watch?v=q3p6G6nLXOU&list=PLsRCKEpC3AenGaRibT9ViBytZwBneHGnd&index=12,,,
UCVlUfN0sAILHcqgtWSxEPRg,M93ThasXaZQ,Deepto Natok,3941,web series,https://www.youtube.com/watch?v=M93ThasXaZQ,,,
UCSBS2k76zEX-EPSjplgaigg,BnfDYkJpJV8,KS Entertainment,5737,drama,https://www.youtube.com/watch?v=BnfDYkJpJV8,,,
UClzwimpLoZu9us9MwalLbtA,eHOGRwmZDl8,Bangladesh Television,2848,debate,https://www.youtube.com/watch?v=eHOGRwmZDl8,,,
UCeNFssPnBfjYw7q6BAQdsuw,19Ec7YwiQb4,WHAT A SHOW!,4683,TV show,https://www.youtube.com/watch?v=19Ec7YwiQb4,,,
UC7lUFHcujxyC76r2LkmSOZA,fNa0Vf8tvhY,Maasranga Program,5452,TV show,https://www.youtube.com/watch?v=fNa0Vf8tvhY,,,
UCql6nzU1vRapqcL1OVj7pbQ,TnXrXA9oMS0,Mr. Mixer's World,2176,tour vlog,https://www.youtube.com/watch?v=TnXrXA9oMS0,,,
UCgc5_M1RttS2zaJlswB0F3w,_qjB0uDw5Wg,Petuk Couple,3328,tour vlog,https://www.youtube.com/watch?v=_qjB0uDw5Wg,,,
UCql6nzU1vRapqcL1OVj7pbQ,IXlGL6i5Prg,Mr. Mixer's World,1740,tour vlog,https://www.youtube.com/watch?v=IXlGL6i5Prg,,,
UCXScA8j4CSiil4wWAUonUnw,BwfFDR1B5Lw,MetroMan,2173,food vlog,https://www.youtube.com/watch?v=BwfFDR1B5Lw,,,
UCXScA8j4CSiil4wWAUonUnw,m6AwVcAPZCY,MetroMan,1129,food vlog,https://www.youtube.com/watch?v=m6AwVcAPZCY,,,
UCYvb2whhiunbP_MXU0Gt5mg,d2-P4ra6M_8,Fagun Audio Vision,4231,TV show,https://www.youtube.com/watch?v=d2-P4ra6M_8,,,
UCYvb2whhiunbP_MXU0Gt5mg,xjzesk9koE0,Fagun Audio Vision,3446,TV show,https://www.youtube.com/watch?v=xjzesk9koE0,,,
UCYvb2whhiunbP_MXU0Gt5mg,7MWrnrNRXaE,Fagun Audio Vision,3748,TV show,https://www.youtube.com/watch?v=7MWrnrNRXaE,,,
UCYvb2whhiunbP_MXU0Gt5mg,_yrIkrvi9Lo,Fagun Audio Vision,3697,TV show,https://www.youtube.com/watch?v=_yrIkrvi9Lo,,,
UCDUDmW-zIKIErCiTnNTUDow,N7MUM694RKE,HIKMAH,1982,speech Islamik,https://www.youtube.com/watch?v=N7MUM694RKE,,,
UC-dC50UvEgvV8ut2Uhoov6Q,gvFQT5yAvj4,জরিনা বিবির পালা,2592,debate,https://www.youtube.com/watch?v=gvFQT5yAvj4,,,
UC7vmqR9wv-upqITiV0S65DA,MXTDfs8GmS4,Dr Jahangir Kabir,2013,Health Talk,https://www.youtube.com/watch?v=MXTDfs8GmS4,,,
UCVg8WjB-6bgtcYmrl1hj_Fg,-iKjyR6VJoM,ATN Bangla,1454,Health Talk,https://www.youtube.com/watch?v=-iKjyR6VJoM,,,
UCMbO-c2g92KPgOzYKDsTbug,Ujgl8Jtjuo8,Desh Rupantor,2547,travel story,https://www.youtube.com/watch?v=Ujgl8Jtjuo8,,,
UCF5H3eSZ13nktM-I9CYZrog,SPGhXONQJ-c,Maasranga Ranga Shokal,2879,Interview,https://www.youtube.com/watch?v=SPGhXONQJ-c,,,
UCot6_4CL7KESSNiDcjeBFCw,C0kSXKNUM1U,Chorki,2954,TV show,https://www.youtube.com/watch?v=C0kSXKNUM1U,,,
UCwO2IsXSjviAoYnaYS2dAhQ,TM12f-DoFDY,NTV Shows,3960,TV show,https://www.youtube.com/watch?v=TM12f-DoFDY&list=PLsoqXr7gqLBwQELPBn_zQ4NcVxg11QUGg,,,
